personAssigned,hogName,hogID,location,country,actualGroundhog_yesNo,yearsDataAvailability,contact,Notes
Grayden,Stonewall Jackson,SLJN,"Wantage, New Jersey",USA,Y,"1990s-2020
",Space Farms Zoo,multiple 'stonewalls' over the years https://countdowntogroundhogday.com/groundhogs-around-the-world/Stonewall_Jackson
Ryan,Sweet Pea,STPA,"Newport News, Virginia",USA,Y,2019 only,https://countdowntogroundhogday.com/groundhogs-around-the-world/sweet_pea,stood in for one year
Tyler,Sir Walter Wally,SWWY,"Raleigh, North Carolina",USA,Y,2000-2020,https://climate.ncsu.edu/climate/groundhog/record?year=2000,
Haley,Two Rivers Tunnel,TRTL,"Mira, Nova Scotia",CAN,Y,1996-2020,https://countdowntogroundhogday.com/groundhogs-around-the-world/Two_Rivers_Tunnel,
Ryan,Woodstock Willie,WKWE,"Woodstock, Illinois",USA,Y,only found 2008-2020 but start listed as 1998,,
Lauren,Western Maryland Murray,WMMY,"Cumberland, Maryland",USA,Y,2007-2020,?,"Tri-State Zoological Park (owner Bob Candy, also WMMY handler) closed January 2020 after PETA animal abuse allegations. Phone number no longer works, missing a few years of data."
Tyler,Wiarton Willie,WNWE,"Wiarton, Ontario",CAN,Y,16 years (contact),,died 2006
Alex,Winnipeg Willow,WPWW,"Winnipeg, Manitoba",CAN,Y,2010s-2020,Prairie Wildlife Rehabilitation Centre,https://countdowntogroundhogday.com/groundhogs-around-the-world/Winnipeg_Wyn
Haley,Woody,WY,"Howell, Michigan",USA,Y,2000-2020,Howell nature center,https://countdowntogroundhogday.com/groundhogs-around-the-world/Woody
Lauren,Yonah the Groundhog,YHGH,"Cleveland, Georgia",USA,Y,2020 only,https://countdowntogroundhogday.com/groundhogs-around-the-world/Yonah_the_Groundhog,
